Latitude,Longitude,Name,Address,Details
45.3836037,-75.3374726,Bearbrook Community Centre/Leslie Armstrong Park,8720 Russell Road,"Flat asphalt surface, Five components"
45.3420508,-75.760191,Ben Franklin Place/Legacy Skatepark,Legacy Skatepark,"17,000 square feet, Large concrete bowl, Many street and vertical components"
45.2757155,-75.7473279,Berrigan Park/Treehouse Mike Memorial Skatepark,51 Berrigan Drive,"Flat concrete surface, More than 10 components"
45.4303586,-75.5631466,Blackburn Park,190 Glen Park Drive,"Flat asphalt surface, Five components"
45.4663445,-75.5447921,Bob MacQuarrie Recreation Complex - Orléans/SK8 Extreme Park,1490 Youville Drive,"Flat asphalt surface, City-run programs: learn to skateboard and skateboard summer camps"
45.290505,-75.8567995,Bridlewood Core Park,65 Stonehaven Drive,"Flat asphalt surface, Five components"
45.499623,-76.0933942,Constance Bay Community Centre Park,262 Len Purcell Drive,"Flat asphalt surface, Five components"
45.263135,-75.9078733,CARDELREC Recreation Complex Goulbourn,1500 Shea Road,
45.3754237,-75.6260185,Greenboro Skatepark,3142 Conroy Road,"Flat asphalt surface, Five components"
45.4003719,-75.6812653,Lansdowne Park,450 Queen Elizabeth Drive,Flat surface
45.2220555,-75.6865968,Manotick Arena/Centennial Park,5572 Doctor Leach Drive,"Flat surface, Eight components"
45.4094956,-75.7020838,McNabb Park/Charlie Bowins Skateboard Park,435 Bronson Avenue,"Flat concrete surface, More than 10 components (including a large quarter-pipe), City-run programs: learn to skateboard and skateboard summer camps"
45.3404271,-75.9304974,Richcraft Recreation Complex-Kanata/Innovation Skateboard Park,4101 Innovation Drive,"Large concrete bowl, More than 10 components (including many street and vertical components)"
45.4366783,-75.6012986,Splash Wave Pool/Trillium Park BMX Track,2030 Ogilvie Road,"Flat asphalt surface, Five components, BMX dirt track"
45.2950304,-75.898618,Walter Baker Park,100 Walter Baker Place,"7,000 square feet, Concrete bowl"
